2015/05/09 15:28:33 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: Loading user properties from: /home/ted/Downloads/apache-jmeter-2.13/bin/user.properties 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: Loading system properties from: /home/ted/Downloads/apache-jmeter-2.13/bin/system.properties 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: java.version=1.7.0_79 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: os.name=Linux 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: os.arch=amd64 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: os.version=3.16.0-30-generic 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: JMeterHome=/home/ted/Downloads/apache-jmeter-2.13 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: user.dir  =/home/ted/rails_projects/themetest 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: PWD       =/home/ted/rails_projects/themetest 
2015/05/09 15:28:34 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: ubuntu FullName: ubuntu 
2015/05/09 15:28:34 INFO  - jmeter.services.FileServer: Default base='/home/ted/rails_projects/themetest' 
2015/05/09 15:28:34 INFO  - jmeter.services.FileServer: Set new base='/home/ted/rails_projects/themetest/.' 
2015/05/09 15:28:36 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/05/09 15:28:36 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/05/09 15:28:36 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2015/05/09 15:28:36 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
